sr,sg,sb,cr,cg,cb,mr,mg,mb,tr,tg,tb,y_matrix,y_target,rr,rg,rb
0.06666667,0.08627451,0.101960786,0.03529412,0.050980393,0.0627451,0.072583295,0.10976407,0.074306294,0.03969958,0.06003568,0.04064198,0.09929939,0.0484949,-0.0044054613,-0.009055287,0.022103123
0.043137256,0.023529412,0.039215688,0.003921569,0.0,0.0,0.042991646,0.036386464,0.027088586,0.015114121,0.012792007,0.009523249,0.03711942,0.0008337255,-0.011192553,-0.012792007,-0.009523249
0.007843138,0.0,0.011764706,0.0,0.0,0.0,0.0077850176,0.0037360457,0.008161708,0.0017422542,0.0008361113,0.0018265559,0.00491639,0.0,-0.0017422542,-0.0008361113,-0.0018265559
0.047058824,0.0627451,0.06666667,0.02745098,0.03529412,0.03137255,0.051048905,0.078032024,0.048622917,0.024482723,0.03742365,0.023319235,0.07017207,0.03334353,0.0029682573,-0.0021295324,0.008053316
0.0627451,0.078431375,0.08235294,0.039215688,0.047058824,0.043137256,0.067288496,0.097974434,0.05981077,0.03543286,0.051591497,0.03149523,0.08869518,0.045108236,0.0037828274,-0.0045326725,0.011642028
0.1254902,0.11764706,0.12941177,0.09019608,0.08235294,0.09411765,0.12958194,0.15330407,0.0920706,0.080723174,0.095500894,0.057355456,0.14383969,0.08486981,0.009472907,-0.01314795,0.036762193
0.09019608,0.09411765,0.11372549,0.05490196,0.05882353,0.06666667,0.09508699,0.12311128,0.08179869,0.054470252,0.070523866,0.046858095,0.11417055,0.05855608,0.000431709,-0.011700336,0.019808576
0.023529412,0.015686275,0.019607844,0.011764706,0.003921569,0.007843138,0.023550158,0.022040019,0.013579581,0.0066777947,0.006249585,0.003850575,0.021750232,0.005872157,0.0050869114,-0.0023280163,0.0039925626
0.11372549,0.08627451,0.11372549,0.08627451,0.06666667,0.08235294,0.11573502,0.11989212,0.0800017,0.06655402,0.06894458,0.046005387,0.116128236,0.07196785,0.019720495,-0.0022779107,0.036347557
0.05490196,0.047058824,0.06666667,0.023529412,0.015686275,0.03529412,0.05697824,0.065201685,0.047495242,0.026058897,0.029819874,0.021721864,0.062174976,0.018769413,-0.0025294852,-0.014133599,0.013572255
0.0,0.0,0.007843138,0.0,0.003921569,0.0,0.00047445067,0.0016384291,0.0057699797,0.0001896379,0.00065488,0.0023062604,0.0016892652,0.002804706,-0.0001896379,0.003266689,-0.0023062604
0.047058824,0.0627451,0.06666667,0.019607844,0.03529412,0.03137255,0.051048905,0.078032024,0.048622917,0.024482723,0.03742365,0.023319235,0.07017207,0.03167608,-0.0048748795,-0.0021295324,0.008053316
0.02745098,0.019607844,0.023529412,0.007843138,0.007843138,0.007843138,0.027610054,0.027025621,0.016376544,0.008458451,0.008279407,0.00501702,0.026381008,0.007843138,-0.00061531365,-0.00043626968,0.002826118
0.05490196,0.07058824,0.07450981,0.039215688,0.043137256,0.050980393,0.0591687,0.08800322,0.054216843,0.029777866,0.04428943,0.027285742,0.07943362,0.042869806,0.009437822,-0.0011521727,0.023694651
